Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3538600;2021;Piracaia;149;157;0;306;26.379
3538709;2021;Piracicaba;2.410;2.267;0;4.677;391.464
3538808;2021;Piraju;181;144;0;325;28.552
3538907;2021;Pirajuí;88;93;0;181;23.274
3539004;2021;Pirangi;53;50;0;103;10.825
3539103;2021;Pirapora do Bom Jesus;112;119;0;231;19.139
3539202;2021;Pirapozinho;142;131;0;273;27.425
3539301;2021;Pirassununga;394;390;0;784;73.921
3539400;2021;Piratininga;59;90;0;149;13.305
3539509;2021;Pitangueiras;213;225;0;438;38.852
3539608;2021;Planalto;24;34;0;58;5.221
3539707;2021;Platina;10;15;0;25;3.528
3539806;2021;Poá;701;639;0;1.340;116.289
3539905;2021;Poloni;30;33;0;63;5.681
3540002;2021;Pompéia;85;110;0;195;21.384
3540101;2021;Pongaí;13;8;0;21;3.340
3540200;2021;Pontal;239;234;0;473;49.889
3540259;2021;Pontalinda;27;25;0;52;4.515
3540309;2021;Pontes Gestal;20;11;0;31;2.530
3540408;2021;Populina;19;13;0;32;3.977
3540507;2021;Porangaba;46;42;0;88;9.380
3540606;2021;Porto Feliz;305;327;0;632;51.907
3540705;2021;Porto Ferreira;284;286;0;570;54.274
3540754;2021;Potim;119;122;0;241;20.815
3540804;2021;Potirendaba;112;91;0;203;16.677
3540853;2021;Pracinha;4;9;0;13;2.921
3540903;2021;Pradópolis;92;86;0;178;21.167
3541000;2021;Praia Grande;2.103;2.113;0;4.216;321.008
3541059;2021;Pratânia;27;40;0;67;5.210
3541109;2021;Presidente Alves;19;21;0;40;4.011
3541208;2021;Presidente Bernardes;58;51;0;109;13.713
3541307;2021;Presidente Epitácio;237;199;0;436;42.484
3541406;2021;Presidente Prudente;1.240;1.230;0;2.470;221.938
3541505;2021;Presidente Venceslau;169;161;0;330;37.981
